layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
open,gnn,10,16,0,53,5,1,0.11488711439812162,244.940076659294,240,0.961242242678043,0.5445241714672496
open,orca,10,17,1,73,5,1,0.1397255175788163,94.6395983961723,113,0.11080510898215945,0.21705265873960689
open,rvo,10,17,1,31,5,1,0.13165654417461606,63.05599575098267,85,0.0638212635963886,21.973593281034162
open,astar,10,17,1,31,5,1,0.044629757701256455,96.319996183069,86,0.11665946633438669,0.20561760378091834
open,mlp,10,17,1,99,5,1,0.18487869594867415,62.89903500185171,240,0.24382018921099405,0.18818327225744724
open,gnn,10,17,0,77,8,1,0.12394907111552524,243.2378253223167,240,1.4080047586188058,0.5540441741080334
open,orca,10,18,1,68,5,1,0.17656087101915097,94.74987630299763,112,0.09669751553073269,0.21833462441073997
open,rvo,10,18,1,12,2,1,0.3010935077062416,61.93599530814389,83,0.07794434065293403,21.961077295961868
open,astar,10,18,1,23,5,1,0.1364505883834145,95.19999671214686,85,0.07908956797699486,0.25620004162192345
open,mlp,10,18,1,88,4,1,0.17560184847145163,66.86753252676354,240,0.2355720706598654,0.18722929526120424
open,gnn,10,18,0,59,7,1,0.29098480632621776,244.33344128806152,240,1.4063654350868813,0.5307278673474988
